object;tag
9299;hvac_setpoint
9319;hvac
9319;hvac_setpoint
9339;hvac
9339;hvac_setpoint
9359;hvac
9359;hvac_setpoint
9379;hvac
9379;hvac_setpoint
10823;hvac
10823;hvac_setpoint
10841;hvac
10841;hvac_setpoint
2948;hvac
2948;hvac_on
2950;hvac
2950;hvac_on
2952;hvac
2952;hvac_on
2953;hvac
2953;hvac_on
2955;hvac
2955;hvac_on
2956;hvac
2956;hvac_on
2957;hvac
2957;hvac_on
2958;hvac
2958;hvac_on
2959;hvac
2959;hvac_on
2960;hvac
2960;hvac_on
2961;hvac
2961;hvac_on
2962;hvac
2962;hvac_on
2963;hvac
2963;hvac_on
2964;hvac
2964;hvac_on
2965;hvac
2965;hvac_on
2966;hvac
2966;hvac_on
14338;weather-alarm
14338;frost-alarm1
14337;weather-alarm
14337;rain-alarm1
14336;weather-alarm
14336;wind-alarm1
11008;ARR
11008;read-flag
11009;ARR
11009;read-flag
11010;ARR
11010;read-flag
11011;ARR
11011;read-flag
11013;ARR
11013;read-flag
11014;ARR
11014;read-flag
11016;ARR
11016;read-flag
11017;ARR
11017;read-flag
11018;ARR
11018;read-flag
11019;ARR
11019;read-flag
11020;ARR
11020;read-flag
11021;ARR
11021;read-flag
11022;ARR
11022;read-flag
11023;ARR
11023;read-flag
11024;ARR
11024;read-flag
11025;ARR
11025;read-flag
11026;ARR
11026;read-flag
11027;ARR
11027;read-flag
11028;ARR
11028;read-flag
11029;ARR
11029;read-flag
11030;ARR
11030;read-flag
11031;ARR
11031;read-flag
11032;ARR
11032;read-flag
11033;ARR
11033;read-flag
11034;ARR
11034;read-flag
11035;ARR
11035;read-flag
11036;ARR
11036;read-flag
11037;ARR
11037;read-flag
11038;ARR
11038;read-flag
11039;ARR
11039;read-flag
11040;ARR
11040;read-flag
11041;ARR
11041;read-flag
11048;ARR
11048;read-flag
11049;ARR
11049;read-flag
11050;ARR
11050;read-flag
11051;ARR
11051;read-flag
11052;ARR
11052;read-flag
11053;ARR
11053;read-flag
11054;ARR
11054;read-flag
11055;ARR
11055;read-flag
11056;ARR
11056;read-flag
11057;ARR
11057;read-flag
11058;ARR
11058;read-flag
11059;ARR
11059;read-flag
11060;ARR
11060;read-flag
11061;ARR
11061;read-flag
11062;ARR
11062;read-flag
11063;ARR
11063;read-flag
11064;ARR
11064;read-flag
11065;ARR
11065;read-flag
11066;ARR
11066;read-flag
11067;ARR
11067;read-flag
11068;ARR
11068;read-flag
11069;ARR
11069;read-flag
11070;ARR
11070;read-flag
11071;ARR
11071;read-flag
11108;ARR
11108;read-flag
11109;ARR
11109;read-flag
11110;ARR
11110;read-flag
11111;ARR
11111;read-flag
11112;ARR
11112;read-flag
11113;ARR
11113;read-flag
11114;ARR
11114;read-flag
11115;ARR
11115;read-flag
11116;ARR
11116;read-flag
11117;ARR
11117;read-flag
11118;ARR
11118;read-flag
11119;ARR
11119;read-flag
11120;ARR
11120;read-flag
11121;ARR
11121;read-flag
11122;ARR
11122;read-flag
11123;ARR
11123;read-flag
11124;ARR
11124;read-flag
11125;ARR
11125;read-flag
11126;ARR
11126;read-flag
11127;ARR
11127;read-flag
11128;ARR
11128;read-flag
11129;ARR
11129;read-flag
11130;ARR
11130;read-flag
11131;ARR
11131;read-flag
11249;ARR
11249;read-flag
11250;ARR
11250;read-flag
11251;ARR
11251;read-flag
11252;ARR
11252;read-flag
11263;ARR
11263;read-flag
2929;hvac
2929;hvac_mode
14894;Oranżeria dach E_Rz_avg
14904;Oranżeria dach E_Rz_avg
14914;Oranżeria dach E_Rz_avg
14924;Oranżeria dach E_Rz_avg
14934;Oranżeria dach W_Rz_avg
14944;Oranżeria dach W_Rz_avg
14954;Oranżeria dach W_Rz_avg
14964;Oranżeria dach W_Rz_avg
3031;ac
3032;ac
3033;ac
3034;ac
3035;ac
3036;ac
3037;ac
3038;ac
3040;ac
3042;ac
3043;ac
3046;ac
3047;ac
3048;ac
3585;hvac
3585;ac
4358;ARR
4358;ac
3596;hvac
3596;ac
3074;ac
3041;ac
3044;ac
3045;ac
3039;ac
3049;ac
3075;ac
3077;ac
