id;address;datahex;updatetime;name;units;datatype;comment;disablelog;highpriolog;tagcache;export;pollinterval;visparams;enums;covincr;extid;readoninit
11029;11029;00;1592777107;ARR_R/W_Muzyczny_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11030;11030;00;1592777108;ARR_R/W_Lazienka_G_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11031;11031;00;1592777108;ARR_R/W_Lazienka_a_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11032;11032;01;1592777108;ARR_R/W_Hall_1_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11033;11033;01;1592777109;ARR_R/W_Hall_0_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11034;11034;01;1592777109;ARR_R/W_Oranzeria_W_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11035;11035;01;1592777109;ARR_R/W_Oranzeria_E0_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11036;11036;00;1592777110;ARR_R/W_Oranzeria_E1_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11037;11037;00;1592777110;ARR_R/W_Oranzeria_D_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11038;11038;00;1592777110;ARR_R/W_KuchniaDrzwi_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;0
11039;11039;01;1592777110;ARR_R/W_JadalniaPrzyDrzewie_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;0
11040;11040;01;1592777111;ARR_R/W_OranzeriaW0_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;0
11041;11041;01;1592777111;ARR_R/W_OranzeriaW1_R_enable;;1003;;1;0;ARR, read-flag;0;;;;;;0
11048;11048;01;1592777111;ARR_R/W_Gabinet_Sz_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11049;11049;01;1592777112;ARR_R/W_Salon_G_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11050;11050;01;1592777112;ARR_R/W_Salon_L_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11051;11051;01;1592777112;ARR_R/W_Salon_R_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11052;11052;01;1592777113;ARR_R/W_Salon_D_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11053;11053;01;1592777113;ARR_R/W_Jadalnia_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11054;11054;01;1592777113;ARR_R/W_Sypialnia_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11055;11055;01;1592777113;ARR_R/W_Gabinet_P_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11056;11056;01;1592777114;ARR_R/W_Goscinny_a_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11057;11057;01;1592777114;ARR_R/W_Goscinny_1_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11058;11058;01;1592777114;ARR_R/W_Kuchnia_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11059;11059;01;1592777115;ARR_R/W_Muzyczny_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11060;11060;01;1592777115;ARR_R/W_Lazienka_G_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
11061;11061;01;1592777115;ARR_R/W_Lazienka_a_W_enable;;1003;;1;0;ARR, read-flag;0;;;;;;
